Rettangoli_naif , Trapezi , Simpson
260000 , 3.30439e-06 , -2.11832e-12 , -1.46042e-16
270000 , 3.182e-06 , -1.96434e-12 , -1.39537e-16
280000 , 3.06836e-06 , -1.82655e-12 , -1.43548e-16
290000 , 2.96255e-06 , -1.70276e-12 , -1.47126e-16
300000 , 2.8638e-06 , -1.59114e-12 , -1.33899e-16
310000 , 2.77142e-06 , -1.49016e-12 , -1.56342e-16
320000 , 2.68481e-06 , -1.39848e-12 , -1.30755e-16
330000 , 2.60346e-06 , -1.31502e-12 , -1.28478e-16
340000 , 2.52688e-06 , -1.23881e-12 , -1.39754e-16
350000 , 2.45469e-06 , -1.16904e-12 , -1.5786e-16
360000 , 2.3865e-06 , -1.105e-12 , -1.36176e-16
370000 , 2.322e-06 , -1.04612e-12 , -1.39537e-16
380000 , 2.2609e-06 , -9.91781e-13 , -1.45066e-16
390000 , 2.20292e-06 , -9.41581e-13 , -1.49728e-16
400000 , 2.14785e-06 , -8.95065e-13 , -1.32598e-16
410000 , 2.09546e-06 , -8.5199e-13 , -1.50704e-16
420000 , 2.04557e-06 , -8.11889e-13 , -1.67509e-16
430000 , 1.998e-06 , -7.74573e-13 , -1.67834e-16
440000 , 1.95259e-06 , -7.3977e-13 , -1.36609e-16
450000 , 1.9092e-06 , -7.07247e-13 , -1.48969e-16
460000 , 1.8677e-06 , -6.76844e-13 , -1.73906e-16
470000 , 1.82796e-06 , -6.48354e-13 , -1.47018e-16
480000 , 1.78988e-06 , -6.21629e-13 , -1.26093e-16
490000 , 1.75335e-06 , -5.96515e-13 , -1.54499e-16
500000 , 1.71828e-06 , -5.72918e-13 , -1.47885e-16
510000 , 1.68459e-06 , -5.50673e-13 , -1.47885e-16
520000 , 1.65219e-06 , -5.29715e-13 , -1.70328e-16
530000 , 1.62102e-06 , -5.099e-13 , -1.24033e-16
540000 , 1.591e-06 , -4.91181e-13 , -1.29345e-16
550000 , 1.56207e-06 , -4.73503e-13 , -1.49403e-16
560000 , 1.53418e-06 , -4.56751e-13 , -1.34766e-16
570000 , 1.50726e-06 , -4.40857e-13 , -1.56234e-16
580000 , 1.48128e-06 , -4.25804e-13 , -1.43982e-16
590000 , 1.45617e-06 , -4.11493e-13 , -1.54607e-16
600000 , 1.4319e-06 , -3.97879e-13 , -1.44199e-16
610000 , 1.40843e-06 , -3.84976e-13 , -1.58619e-16
620000 , 1.38571e-06 , -3.72631e-13 , -1.31622e-16
630000 , 1.36372e-06 , -3.60934e-13 , -1.56017e-16
640000 , 1.34241e-06 , -3.49719e-13 , -1.62413e-16
650000 , 1.32175e-06 , -3.39047e-13 , -1.29454e-16
