Rettangoli_naif Trapezi Simpson
3.20575e-06 -1.99796e-12 1.57652e-14
3.19383e-06 -1.98264e-12 -3.70814e-14
3.182e-06 -1.94378e-12 1.55431e-15
3.17026e-06 -1.9309e-12 -1.31006e-14
3.1586e-06 -1.90981e-12 2.44249e-14
3.14703e-06 -1.91758e-12 2.53131e-14
3.13555e-06 -1.9047e-12 -1.04361e-14
3.12415e-06 -1.89648e-12 -6.35048e-14
3.11283e-06 -1.90203e-12 -9.76996e-15
3.10159e-06 -1.87916e-12 -1.33227e-15
3.09043e-06 -1.84053e-12 -1.77636e-15
3.07936e-06 -1.84519e-12 9.76996e-15
3.06836e-06 -1.83742e-12 -1.11022e-14
3.05744e-06 -1.7808e-12 -7.10543e-15
3.0466e-06 -1.79279e-12 3.10862e-15
3.03583e-06 -1.78924e-12 2.70894e-14
3.02514e-06 -1.79501e-12 -2.66454e-15
3.01453e-06 -1.80145e-12 4.66294e-15
3.00399e-06 -1.73306e-12 3.55271e-14
2.99352e-06 -1.74039e-12 -1.08802e-14
2.98313e-06 -1.69154e-12 6.10623e-14
2.9728e-06 -1.70863e-12 9.76996e-15
2.96255e-06 -1.74927e-12 -1.31006e-14
2.95237e-06 -1.71196e-12 2.62013e-14
2.94226e-06 -1.65534e-12 2.5091e-14
2.93222e-06 -1.62048e-12 3.33067e-15
2.92225e-06 -1.67621e-12 -2.22045e-14
2.91234e-06 -1.63825e-12 -1.33227e-15
2.9025e-06 -1.64757e-12 3.26406e-14
2.89273e-06 -1.65534e-12 1.13243e-14
2.88302e-06 -1.63292e-12 8.65974e-15
2.87338e-06 -1.58762e-12 -3.33067e-14
2.8638e-06 -1.63158e-12 -1.84297e-14
2.85429e-06 -1.5612e-12 1.26565e-14
2.84484e-06 -1.55875e-12 -1.22125e-14
2.83545e-06 -1.52345e-12 3.77476e-15
2.82612e-06 -1.55453e-12 -1.86517e-14
2.81685e-06 -1.5119e-12 -4.21885e-15
2.80765e-06 -1.52522e-12 2.86438e-14
2.7985e-06 -1.53233e-12 2.53131e-14
2.78942e-06 -1.50346e-12 -1.88738e-14
2.78039e-06 -1.49436e-12 1.55431e-15
2.77142e-06 -1.48548e-12 7.77156e-15
2.76251e-06 -1.53677e-12 -3.15303e-14
2.75366e-06 -1.44773e-12 1.84297e-14
2.74486e-06 -1.47615e-12 -4.32987e-14
2.73612e-06 -1.48037e-12 -1.11022e-14
2.72743e-06 -1.46239e-12 -5.32907e-15
2.7188e-06 -1.39444e-12 -1.77636e-14
2.71022e-06 -1.4293e-12 -1.64313e-14
2.7017e-06 -1.37845e-12 9.99201e-15
2.69323e-06 -1.40443e-12 -4.66294e-15
2.68481e-06 -1.38511e-12 -2.66454e-15
2.67645e-06 -1.39999e-12 -2.30926e-14
2.66814e-06 -1.38378e-12 -1.15463e-14
2.65988e-06 -1.38289e-12 -3.08642e-14
2.65167e-06 -1.35514e-12 -1.33227e-15
2.64351e-06 -1.3638e-12 -2.4869e-14
2.6354e-06 -1.36047e-12 2.93099e-14
2.62734e-06 -1.35381e-12 -3.61933e-14
2.61933e-06 -1.34426e-12 -2.42029e-14
2.61137e-06 -1.33404e-12 -1.33227e-14
2.60346e-06 -1.3296e-12 3.55271e-15
2.59559e-06 -1.27121e-12 2.4647e-14
2.58777e-06 -1.28675e-12 2.9976e-14
2.58e-06 -1.30518e-12 -1.06581e-14
2.57228e-06 -1.32672e-12 -1.26565e-14
2.5646e-06 -1.27365e-12 -1.53211e-14
2.55697e-06 -1.26033e-12 -1.68754e-14
2.54938e-06 -1.22591e-12 1.15463e-14
2.54184e-06 -1.23745e-12 -2.9754e-14
2.53434e-06 -1.26188e-12 3.13083e-14
2.52688e-06 -1.25855e-12 3.70814e-14
2.51947e-06 -1.19216e-12 1.15463e-14
2.51211e-06 -1.20703e-12 1.79856e-14
2.50478e-06 -1.21436e-12 2.4647e-14
2.4975e-06 -1.18394e-12 7.01661e-14
2.49026e-06 -1.20481e-12 7.99361e-15
2.48307e-06 -1.1946e-12 2.44249e-15
2.47591e-06 -1.21259e-12 -3.10862e-15
2.46879e-06 -1.15707e-12 9.99201e-15
2.46172e-06 -1.17195e-12 5.55112e-15
2.45469e-06 -1.16973e-12 -1.42109e-14
2.44769e-06 -1.11999e-12 0
2.44074e-06 -1.18949e-12 -1.84297e-14
2.43383e-06 -1.14997e-12 -1.55431e-15
2.42695e-06 -1.14975e-12 1.04361e-14
2.42011e-06 -1.09912e-12 1.26565e-14
2.41332e-06 -1.06426e-12 4.44089e-16
2.40656e-06 -1.11555e-12 1.75415e-14
2.39983e-06 -1.11955e-12 -6.88338e-15
2.39315e-06 -1.09601e-12 2.44249e-15
2.3865e-06 -1.08713e-12 -1.33227e-14
2.37989e-06 -1.08513e-12 2.66454e-15
2.37332e-06 -1.09779e-12 -3.75255e-14
2.36678e-06 -1.1251e-12 -2.10942e-14
2.36028e-06 -1.08802e-12 1.77636e-15
2.35381e-06 -1.10023e-12 4.24105e-14
2.34738e-06 -1.00542e-12 5.35127e-14
2.34098e-06 -1.05893e-12 -7.54952e-15
2.33462e-06 -1.06648e-12 -1.35447e-14
2.32829e-06 -1.04783e-12 -3.9968e-15
2.322e-06 -1.03384e-12 -9.76996e-15
2.31574e-06 -1.00675e-12 2.13163e-14
2.30952e-06 -1.01741e-12 5.55112e-15
2.30333e-06 -1.00808e-12 1.55431e-15
2.29717e-06 -1.01563e-12 3.9968e-15
2.29104e-06 -1.02252e-12 -4.24105e-14
2.28495e-06 -1.02407e-12 5.77316e-15
2.27889e-06 -1.04183e-12 -2.22045e-15
2.27286e-06 -9.97868e-13 -4.44089e-16
2.26686e-06 -1.06004e-12 -2.35367e-14
2.2609e-06 -1.00697e-12 -2.68674e-14
2.25496e-06 -9.60121e-13 8.43769e-15
2.24906e-06 -9.9365e-13 -1.31006e-14
2.24319e-06 -9.69003e-13 2.66454e-14
2.23735e-06 -9.64562e-13 -3.33067e-15
2.23153e-06 -9.36584e-13 -1.13243e-14
2.22575e-06 -9.06164e-13 1.35447e-14
2.22e-06 -9.50351e-13 1.26565e-14
2.21428e-06 -9.28591e-13 3.64153e-14
2.20859e-06 -9.91651e-13 -3.39728e-14
2.20292e-06 -9.34586e-13 2.84217e-14
2.19729e-06 -9.22151e-13 2.57572e-14
2.19169e-06 -9.67892e-13 1.42109e-14
2.18611e-06 -9.33031e-13 2.22045e-16
2.18056e-06 -9.12825e-13 3.68594e-14
2.17504e-06 -8.91509e-13 1.62093e-14
2.16955e-06 -8.79963e-13 1.4877e-14
2.16408e-06 -9.07718e-13 1.06581e-14
2.15864e-06 -9.37694e-13 -4.68514e-14
2.15323e-06 -9.06608e-13 -2.35367e-14
2.14785e-06 -8.81517e-13 2.44249e-15
2.1425e-06 -9.36584e-13 -6.43929e-15
2.13717e-06 -9.10827e-13 9.32587e-15
2.13186e-06 -8.71969e-13 1.26565e-14
2.12659e-06 -8.72191e-13 -5.10703e-15
2.12133e-06 -8.62199e-13 7.10543e-15
2.11611e-06 -8.89289e-13 -1.04361e-14
2.11091e-06 -8.93952e-13 -1.42109e-14
2.10574e-06 -8.16458e-13 9.32587e-15
2.10059e-06 -8.20233e-13 -3.95239e-14
2.09546e-06 -8.98615e-13 -4.10783e-14
2.09037e-06 -8.77742e-13 -3.77476e-14
2.08529e-06 -9.04832e-13 -3.75255e-14
2.08024e-06 -8.3733e-13 2.44249e-15
2.07522e-06 -7.94476e-13 4.64073e-14
2.07022e-06 -8.2534e-13 -3.77476e-15
2.06524e-06 -8.32667e-13 -2.22045e-14
2.06029e-06 -8.43103e-13 -9.10383e-15
2.05536e-06 -8.35998e-13 1.59872e-14
2.05045e-06 -8.01581e-13 -3.68594e-14
2.04557e-06 -8.06688e-13 -1.68754e-14
2.04071e-06 -8.1779e-13 -2.90878e-14
2.03588e-06 -8.20455e-13 -1.28786e-14
2.03107e-06 -8.10019e-13 -1.35447e-14
2.02628e-06 -7.39409e-13 2.77556e-14
2.02151e-06 -8.07798e-13 2.66454e-15
2.01676e-06 -7.94698e-13 2.15383e-14
2.01204e-06 -7.48956e-13 7.77156e-15
2.00734e-06 -7.8626e-13 -1.55431e-15
2.00266e-06 -7.76046e-13 1.75415e-14
1.998e-06 -7.36522e-13 3.90799e-14
1.99337e-06 -7.71383e-13 -1.17684e-14
1.98875e-06 -7.49401e-13 -2.4647e-14
1.98416e-06 -8.01803e-13 -2.06501e-14
1.97959e-06 -7.70273e-13 5.9952e-15
1.97504e-06 -7.51843e-13 2.4647e-14
1.97051e-06 -7.38298e-13 -5.4845e-14
1.966e-06 -7.54952e-13 1.04361e-14
1.96151e-06 -7.20979e-13 2.04281e-14
1.95704e-06 -7.15206e-13 -1.79856e-14
1.95259e-06 -7.91145e-13 -2.39808e-14
1.94816e-06 -7.22089e-13 4.08562e-14
1.94376e-06 -7.7538e-13 2.70894e-14
1.93937e-06 -7.28306e-13 1.06581e-14
1.935e-06 -7.10987e-13 -2.66454e-15
1.93065e-06 -6.82787e-13 2.75335e-14
1.92632e-06 -7.42739e-13 4.19664e-14
1.92201e-06 -7.13207e-13 -6.21725e-15
1.91772e-06 -6.53255e-13 4.26326e-14
1.91345e-06 -6.92557e-13 1.15463e-14
1.9092e-06 -7.08322e-13 -2.88658e-14
1.90497e-06 -7.09877e-13 -4.15223e-14
1.90075e-06 -6.91669e-13 -3.33067e-15
1.89656e-06 -6.78124e-13 3.39728e-14
1.89238e-06 -7.13429e-13 -5.55112e-15
1.88822e-06 -7.16982e-13 -2.42029e-14
1.88408e-06 -6.87006e-13 -2.10942e-14
1.87996e-06 -6.94333e-13 -7.10543e-15
1.87585e-06 -6.33715e-13 3.15303e-14
1.87177e-06 -6.5481e-13 3.95239e-14
1.8677e-06 -6.76792e-13 -4.84057e-14
1.86365e-06 -6.45484e-13 -4.44089e-16
1.85961e-06 -6.61471e-13 3.81917e-14
1.8556e-06 -6.81677e-13 -4.61853e-14
1.8516e-06 -7.20535e-13 -5.35127e-14
1.84761e-06 -6.48592e-13 -3.77476e-15
1.84365e-06 -6.87006e-13 7.32747e-15
1.8397e-06 -6.11955e-13 -1.90958e-14
1.83577e-06 -6.5481e-13 2.44249e-15
1.83186e-06 -6.53921e-13 8.28226e-14
1.82796e-06 -6.53921e-13 -2.84217e-14
1.82408e-06 -6.83009e-13 -8.52651e-14
1.82021e-06 -6.09734e-13 6.21725e-15
1.81637e-06 -5.47118e-13 5.88418e-14
1.81253e-06 -7.21867e-13 -1.11022e-14
1.80872e-06 -6.37046e-13 -1.88738e-14
1.80492e-06 -6.26832e-13 -3.26406e-14
1.80113e-06 -6.41931e-13 1.66533e-14
1.79737e-06 -6.18838e-13 1.9984e-14
1.79361e-06 -6.2772e-13 -2.42029e-14
1.78988e-06 -6.05294e-13 2.81997e-14
1.78616e-06 -5.61329e-13 4.86278e-14
1.78245e-06 -6.55476e-13 -1.22125e-14
1.77876e-06 -5.71987e-13 -6.43929e-15
1.77508e-06 -5.70877e-13 2.88658e-14
1.77142e-06 -6.14619e-13 -3.44169e-14
1.76778e-06 -5.83755e-13 -2.86438e-14
1.76415e-06 -6.5481e-13 5.32907e-15
1.76053e-06 -6.15064e-13 -1.19904e-14
1.75693e-06 -5.86198e-13 -4.92939e-14
1.75335e-06 -6.14397e-13 -3.59712e-14
1.74978e-06 -5.71987e-13 -6.66134e-15
1.74622e-06 -6.03295e-13 -9.54792e-15
1.74268e-06 -5.67546e-13 5.57332e-14
1.73915e-06 -6.13731e-13 -2.30926e-14
1.73564e-06 -5.85088e-13 5.92859e-14
1.73214e-06 -5.71987e-13 -4.66294e-14
1.72865e-06 -5.42677e-13 4.81837e-14
1.72518e-06 -5.5711e-13 1.15463e-14
1.72172e-06 -5.93303e-13 3.55271e-15
1.71828e-06 -6.06404e-13 -3.68594e-14
1.71485e-06 -6.255e-13 -4.44089e-15
1.71144e-06 -5.66658e-13 2.24265e-14
1.70803e-06 -5.68434e-13 -7.32747e-15
1.70464e-06 -5.29132e-13 2.84217e-14
1.70127e-06 -5.39346e-13 3.55271e-14
1.69791e-06 -5.39346e-13 -1.77636e-14
1.69456e-06 -5.57998e-13 -1.22125e-14
1.69122e-06 -5.21583e-13 -1.90958e-14
1.6879e-06 -5.31131e-13 2.53131e-14
1.68459e-06 -5.43121e-13 -8.65974e-15
1.68129e-06 -5.40012e-13 -2.66454e-14
1.67801e-06 -5.71765e-13 7.77156e-15
1.67474e-06 -5.50227e-13 -3.90799e-14
1.67148e-06 -5.47562e-13 -4.66294e-15
1.66823e-06 -5.51559e-13 1.66533e-14
1.665e-06 -4.78506e-13 5.90639e-14
1.66178e-06 -5.51559e-13 -7.37188e-14
1.65857e-06 -5.24913e-13 4.50751e-14
1.65538e-06 -5.26912e-13 1.84297e-14
1.65219e-06 -5.79314e-13 -2.68674e-14
1.64902e-06 -5.75984e-13 2.44249e-15
1.64586e-06 -5.56e-13 -1.46549e-14
1.64272e-06 -5.22693e-13 1.70974e-14
1.63958e-06 -5.57332e-13 1.66533e-14
1.63646e-06 -5.36238e-13 -1.11022e-15
1.63335e-06 -5.58886e-13 -5.01821e-14
1.63025e-06 -5.35127e-13 1.17684e-14
1.62716e-06 -5.29354e-13 -4.19664e-14
1.62408e-06 -5.55556e-13 -5.9952e-14
1.62102e-06 -4.85612e-13 -2.77556e-14
1.61797e-06 -4.88276e-13 8.65974e-15
1.61493e-06 -5.04707e-13 -2.37588e-14
1.6119e-06 -5.15143e-13 8.43769e-14
1.60888e-06 -4.56968e-13 4.4853e-14
1.60587e-06 -5.16254e-13 -1.31006e-14
1.60287e-06 -4.91607e-13 -2.19824e-14
1.59989e-06 -4.90719e-13 -6.21725e-15
1.59692e-06 -5.38902e-13 2.4869e-14
1.59395e-06 -4.74509e-13 -2.44249e-15
1.591e-06 -5.08926e-13 -3.55271e-15
1.58806e-06 -4.94271e-13 -3.5083e-14
1.58513e-06 -4.26104e-13 3.26406e-14
1.58221e-06 -5.25802e-13 1.42109e-14
1.5793e-06 -4.93827e-13 -2.33147e-14
1.5764e-06 -4.85167e-13 5.9952e-15
1.57352e-06 -4.7673e-13 -6.23945e-14
1.57064e-06 -4.77396e-13 6.43929e-15
