x;y;func
1.08071;0.881645;0
1.09327;0.887613;0
1.10584;0.893432;0
1.11841;0.899102;0
1.13097;0.904619;0
1.14354;0.909982;0
1.15611;0.91519;0
1.16867;0.920242;0
1.18124;0.925134;0
1.19381;0.929865;0
1.20637;0.934435;0
1.21894;0.938841;0
1.2315;0.94308;0
1.24407;0.947153;0
1.25664;0.951057;0.951057
1.2692;0.95479;0.951057
1.28177;0.958353;0.951057
1.29434;0.961746;0.951057
1.3069;0.964971;0.951057
1.31947;0.968028;0.951057
1.33204;0.970917;0.951057
1.3446;0.973639;0.951057
1.35717;0.976195;0.951057
1.36973;0.978586;0.951057
1.3823;0.980811;0.951057
1.39487;0.982872;0.951057
1.40743;0.98477;0.951057
1.42;0.986505;0.951057
1.43257;0.988078;0.951057
1.44513;0.989489;0.951057
1.4577;0.990739;0.951057
1.47027;0.991828;0.951057
1.48283;0.992758;0.951057
1.4954;0.993529;0.951057
1.50796;0.994142;0.951057
1.52053;0.994596;0.951057
1.5331;0.994894;0.951057
1.54566;0.995035;0.951057
1.55823;0.995021;0.951057
1.5708;0.994851;0.951057
1.58336;0.994527;0.951057
1.59593;0.99405;0.951057
1.6085;0.993419;0.951057
1.62106;0.992635;0.951057
1.63363;0.9917;0.951057
1.64619;0.990614;0.951057
1.65876;0.989376;0.951057
1.67133;0.98799;0.951057
1.68389;0.986453;0.951057
1.69646;0.984769;0.951057
1.70903;0.982936;0.951057
1.72159;0.980956;0.951057
1.73416;0.978829;0.951057
1.74673;0.976557;0.951057
1.75929;0.974139;0.951057
1.77186;0.971576;0.951057
1.78442;0.96887;0.951057
1.79699;0.96602;0.951057
1.80956;0.963027;0.951057
1.82212;0.959892;0.951057
1.83469;0.956616;0.951057
1.84726;0.953199;0.951057
1.85982;0.949642;0.951057
1.87239;0.945946;0.951057
1.88496;0.94211;0.951057
1.89752;0.938137;0.951057
1.91009;0.934026;0.951057
1.92265;0.929778;0.951057
1.93522;0.925394;0.951057
1.94779;0.920874;0.951057
1.96035;0.91622;0.951057
1.97292;0.911431;0.951057
1.98549;0.906509;0.951057
1.99805;0.901454;0.951057
2.01062;0.896266;0.951057
2.02319;0.890947;0.951057
2.03575;0.885497;0.951057
2.04832;0.879917;0.951057
2.06088;0.874207;0.951057
2.07345;0.868368;0.951057
2.08602;0.8624;0.951057
2.09858;0.856305;0.951057
2.11115;0.850083;0.951057
2.12372;0.843734;0.951057
2.13628;0.83726;0.951057
2.14885;0.83066;0.951057
2.16142;0.823936;0.951057
2.17398;0.817089;0.951057
2.18655;0.810118;0.951057
2.19911;0.803024;0.951057
2.21168;0.795809;0.951057
2.22425;0.788473;0.951057
2.23681;0.781016;0.951057
2.24938;0.773439;0.951057
2.26195;0.765743;0.951057
2.27451;0.757928;0.951057
2.28708;0.749995;0.951057
2.29965;0.741945;0.951057
2.31221;0.733779;0.951057
2.32478;0.725496;0.951057
2.33734;0.717098;0.951057
2.34991;0.708586;0.951057
2.36248;0.699959;0.951057
2.37504;0.69122;0.951057
2.38761;0.682367;0.951057
2.40018;0.673402;0.951057
2.41274;0.664326;0.951057
2.42531;0.655139;0.951057
2.43788;0.645842;0.951057
2.45044;0.636436;0.951057
2.46301;0.626921;0.951057
2.47558;0.617298;0.951057
2.48814;0.607567;0.951057
2.50071;0.597729;0.951057
2.51327;0.587785;0.587785
2.52584;0.577736;0.587785
2.53841;0.567584;0.587785
2.55097;0.55733;0.587785
2.56354;0.546977;0.587785
2.57611;0.536526;0.587785
2.58867;0.525981;0.587785
2.60124;0.515343;0.587785
2.61381;0.504614;0.587785
2.62637;0.493797;0.587785
2.63894;0.482893;0.587785
2.6515;0.471904;0.587785
2.66407;0.460834;0.587785
2.67664;0.449683;0.587785
2.6892;0.438454;0.587785
2.70177;0.427149;0.587785
2.71434;0.41577;0.587785
2.7269;0.404319;0.587785
2.73947;0.392799;0.587785
2.75204;0.381211;0.587785
2.7646;0.369557;0.587785
2.77717;0.357841;0.587785
2.78973;0.346063;0.587785
2.8023;0.334226;0.587785
2.81487;0.322332;0.587785
2.82743;0.310383;0.587785
2.84;0.298381;0.587785
2.85257;0.286329;0.587785
2.86513;0.274228;0.587785
2.8777;0.262081;0.587785
2.89027;0.249889;0.587785
2.90283;0.237656;0.587785
2.9154;0.225382;0.587785
2.92796;0.21307;0.587785
2.94053;0.200722;0.587785
2.9531;0.188341;0.587785
2.96566;0.175927;0.587785
2.97823;0.163485;0.587785
2.9908;0.151014;0.587785
3.00336;0.138519;0.587785
3.01593;0.126;0.587785
3.0285;0.11346;0.587785
3.04106;0.100901;0.587785
3.05363;0.0883257;0.587785
3.06619;0.0757352;0.587785
3.07876;0.063132;0.587785
3.09133;0.0505182;0.587785
3.10389;0.0378961;0.587785
3.11646;0.0252676;0.587785
3.12903;0.0126348;0.587785
3.14159;1.11022e-16;0.587785
3.15416;-0.0126348;0.587785
3.16673;-0.0252676;0.587785
3.17929;-0.0378961;0.587785
3.19186;-0.0505182;0.587785
3.20442;-0.063132;0.587785
3.21699;-0.0757352;0.587785
3.22956;-0.0883257;0.587785
3.24212;-0.100901;0.587785
3.25469;-0.11346;0.587785
3.26726;-0.126;0.587785
3.27982;-0.138519;0.587785
3.29239;-0.151014;0.587785
3.30496;-0.163485;0.587785
3.31752;-0.175927;0.587785
3.33009;-0.188341;0.587785
3.34265;-0.200722;0.587785
3.35522;-0.21307;0.587785
3.36779;-0.225382;0.587785
3.38035;-0.237656;0.587785
3.39292;-0.249889;0.587785
3.40549;-0.262081;0.587785
3.41805;-0.274228;0.587785
3.43062;-0.286329;0.587785
3.44319;-0.298381;0.587785
3.45575;-0.310383;0.587785
3.46832;-0.322332;0.587785
3.48088;-0.334226;0.587785
3.49345;-0.346063;0.587785
3.50602;-0.357841;0.587785
3.51858;-0.369557;0.587785
3.53115;-0.381211;0.587785
3.54372;-0.392799;0.587785
3.55628;-0.404319;0.587785
3.56885;-0.41577;0.587785
3.58142;-0.427149;0.587785
3.59398;-0.438454;0.587785
3.60655;-0.449683;0.587785
3.61911;-0.460834;0.587785
3.63168;-0.471904;0.587785
3.64425;-0.482893;0.587785
3.65681;-0.493797;0.587785
3.66938;-0.504614;0.587785
3.68195;-0.515343;0.587785
3.69451;-0.525981;0.587785
3.70708;-0.536526;0.587785
3.71965;-0.546977;0.587785
3.73221;-0.55733;0.587785
3.74478;-0.567584;0.587785
3.75734;-0.577736;0.587785
3.76991;-0.587785;-0.587785
3.78248;-0.597729;-0.587785
3.79504;-0.607567;-0.587785
3.80761;-0.617298;-0.587785
3.82018;-0.626921;-0.587785
3.83274;-0.636436;-0.587785
3.84531;-0.645842;-0.587785
3.85788;-0.655139;-0.587785
3.87044;-0.664326;-0.587785
3.88301;-0.673402;-0.587785
3.89557;-0.682367;-0.587785
3.90814;-0.69122;-0.587785
3.92071;-0.699959;-0.587785
3.93327;-0.708586;-0.587785
3.94584;-0.717098;-0.587785
3.95841;-0.725496;-0.587785
3.97097;-0.733779;-0.587785
3.98354;-0.741945;-0.587785
3.99611;-0.749995;-0.587785
4.00867;-0.757928;-0.587785
4.02124;-0.765743;-0.587785
4.0338;-0.773439;-0.587785
4.04637;-0.781016;-0.587785
4.05894;-0.788473;-0.587785
4.0715;-0.795809;-0.587785
4.08407;-0.803024;-0.587785
4.09664;-0.810118;-0.587785
4.1092;-0.817089;-0.587785
4.12177;-0.823936;-0.587785
4.13434;-0.83066;-0.587785
4.1469;-0.83726;-0.587785
4.15947;-0.843734;-0.587785
4.17204;-0.850083;-0.587785
4.1846;-0.856305;-0.587785
4.19717;-0.8624;-0.587785
4.20973;-0.868368;-0.587785
4.2223;-0.874207;-0.587785
4.23487;-0.879917;-0.587785
4.24743;-0.885497;-0.587785
4.26;-0.890947;-0.587785
4.27257;-0.896266;-0.587785
4.28513;-0.901454;-0.587785
4.2977;-0.906509;-0.587785
4.31027;-0.911431;-0.587785
4.32283;-0.91622;-0.587785
4.3354;-0.920874;-0.587785
4.34796;-0.925394;-0.587785
4.36053;-0.929778;-0.587785
4.3731;-0.934026;-0.587785
4.38566;-0.938137;-0.587785
4.39823;-0.94211;-0.587785
4.4108;-0.945946;-0.587785
4.42336;-0.949642;-0.587785
4.43593;-0.953199;-0.587785
4.4485;-0.956616;-0.587785
4.46106;-0.959892;-0.587785
4.47363;-0.963027;-0.587785
4.48619;-0.96602;-0.587785
4.49876;-0.96887;-0.587785
4.51133;-0.971576;-0.587785
4.52389;-0.974139;-0.587785
4.53646;-0.976557;-0.587785
4.54903;-0.978829;-0.587785
4.56159;-0.980956;-0.587785
4.57416;-0.982936;-0.587785
4.58673;-0.984769;-0.587785
4.59929;-0.986453;-0.587785
4.61186;-0.98799;-0.587785
4.62442;-0.989376;-0.587785
4.63699;-0.990614;-0.587785
4.64956;-0.9917;-0.587785
4.66212;-0.992635;-0.587785
4.67469;-0.993419;-0.587785
4.68726;-0.99405;-0.587785
4.69982;-0.994527;-0.587785
4.71239;-0.994851;-0.587785
4.72496;-0.995021;-0.587785
4.73752;-0.995035;-0.587785
4.75009;-0.994894;-0.587785
4.76265;-0.994596;-0.587785
4.77522;-0.994142;-0.587785
4.78779;-0.993529;-0.587785
4.80035;-0.992758;-0.587785
4.81292;-0.991828;-0.587785
4.82549;-0.990739;-0.587785
4.83805;-0.989489;-0.587785
4.85062;-0.988078;-0.587785
4.86319;-0.986505;-0.587785
4.87575;-0.98477;-0.587785
4.88832;-0.982872;-0.587785
4.90088;-0.980811;-0.587785
4.91345;-0.978586;-0.587785
4.92602;-0.976195;-0.587785
4.93858;-0.973639;-0.587785
4.95115;-0.970917;-0.587785
4.96372;-0.968028;-0.587785
4.97628;-0.964971;-0.587785
4.98885;-0.961746;-0.587785
5.00142;-0.958353;-0.587785
5.01398;-0.95479;-0.587785
5.02655;-0.951057;-0.951057
5.03911;-0.947153;-0.951057
5.05168;-0.94308;-0.951057
5.06425;-0.938841;-0.951057
5.07681;-0.934435;-0.951057
5.08938;-0.929865;-0.951057
5.10195;-0.925134;-0.951057
5.11451;-0.920242;-0.951057
5.12708;-0.91519;-0.951057
5.13965;-0.909982;-0.951057
5.15221;-0.904619;-0.951057
5.16478;-0.899102;-0.951057
5.17734;-0.893432;-0.951057
5.18991;-0.887613;-0.951057
5.20248;-0.881645;-0.951057
5.21504;-0.87553;-0.951057
5.22761;-0.86927;-0.951057
5.24018;-0.862866;-0.951057
5.25274;-0.856321;-0.951057
5.26531;-0.849636;-0.951057
5.27788;-0.842812;-0.951057
5.29044;-0.835852;-0.951057
5.30301;-0.828757;-0.951057
5.31557;-0.821529;-0.951057
5.32814;-0.814169;-0.951057
5.34071;-0.806679;-0.951057
5.35327;-0.799062;-0.951057
5.36584;-0.791318;-0.951057
5.37841;-0.783449;-0.951057
5.39097;-0.775457;-0.951057
5.40354;-0.767344;-0.951057
5.41611;-0.759112;-0.951057
5.42867;-0.750762;-0.951057
5.44124;-0.742296;-0.951057
5.4538;-0.733715;-0.951057
5.46637;-0.725021;-0.951057
5.47894;-0.716217;-0.951057
5.4915;-0.707303;-0.951057
5.50407;-0.698282;-0.951057
5.51664;-0.689155;-0.951057
5.5292;-0.679923;-0.951057
5.54177;-0.670589;-0.951057
5.55434;-0.661155;-0.951057
5.5669;-0.651621;-0.951057
5.57947;-0.64199;-0.951057
5.59203;-0.632264;-0.951057
5.6046;-0.622443;-0.951057
5.61717;-0.61253;-0.951057
5.62973;-0.602527;-0.951057
5.6423;-0.592435;-0.951057
5.65487;-0.582256;-0.951057
5.66743;-0.571992;-0.951057
5.68;-0.561643;-0.951057
5.69257;-0.551213;-0.951057
